dataset,representation,checkpoint,in_frame,hidden_size,batch_size,initial_seq_len,eval_frames,trials,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std
martial,pos,weights_pos_stage100k/0100000.weight,171,1024,8,20,20,20,0.00037596729510986417,0.00016578657514200682,0.018882685254076388,0.004405847558115267,0.010900243616342144,0.002114570312943769
martial,euler,weights_euler_stage100k/0100000.weight,132,1024,8,20,20,20,6.144853797594331,9.420940533947505,1.9951482420591582,1.4711346946498751,0.3152952776986784,0.1302691696968376
martial,quad,weights_quad_stage100k/0100000.weight,175,1024,8,20,20,20,6.942417092905816e-05,8.444719397243975e-05,0.006953653747557574,0.0045903017861723076,0.0019392605800505058,0.0006916340465672836
salsa,pos,weights_pos_salsa100k/0100000.weight,171,1024,8,20,20,20,0.0007679972010953822,0.0003051052433300333,0.027276736476391266,0.004896616004230682,0.017463802103888388,0.0022679673997020046
salsa,euler,weights_euler_salsa100k/0100000.weight,132,1024,8,20,20,20,1.8294763875939541,1.9287052404717404,1.1878313561410623,0.64694130874604,0.34593875686040676,0.08240325361480873
salsa,quad,weights_quad_salsa100k/0100000.weight,175,1024,8,20,20,20,3.473848541175629e-05,2.9881553419562768e-05,0.005508319186137563,0.0020968798619341784,0.0018920770313641314,0.00030354700900544546
indian,pos,weights_pos_indian100k/0100000.weight,171,1024,8,20,20,20,0.0007265456449948729,0.0004580786476924567,0.025881920600941376,0.007528069540156982,0.015451378524402792,0.0031950069698457
indian,euler,weights_euler_indian100k/0100000.weight,132,1024,8,20,20,20,2.8279858260402233,3.78931733460536,1.437204619385294,0.8731716372270659,0.3644100761177912,0.08541971231754854
indian,quad,weights_quad_indian100k/0100000.weight,175,1024,8,20,20,20,6.906565013157901e-05,7.58806114643669e-05,0.007383806188386448,0.0038137981467200118,0.002321090959669356,0.00021858328232276735
